,datetime,IncidentTime,Call,Holiday,Morning,Afternoon,Night,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,temp,snowdepth,windspeed,Clear,Cloudy,Overcast,Rain,Snow
0,2001-01-01,,0,1,0,0,0,1,0,0,0,0,0,0,26.2,9.2,15.7,0,1,0,0,0
1,2001-01-02,,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.3,15.8,0,1,0,0,0
2,2001-01-03,15:00:00,1,0,0,1,0,0,0,1,0,0,0,0,22.3,6.8,11.1,0,1,0,0,0
3,2001-01-04,,0,0,0,0,0,0,0,0,1,0,0,0,27.6,6.3,14.0,0,1,0,0,0
4,2001-01-05,,0,0,0,0,0,0,0,0,0,1,0,0,26.4,6.6,10.2,0,0,0,0,1
5,2001-01-06,,0,0,0,0,0,0,0,0,0,0,1,0,32.6,7.2,15.2,0,1,0,0,0
6,2001-01-07,,0,0,0,0,0,0,0,0,0,0,0,1,33.5,6.1,9.2,0,1,0,0,0
7,2001-01-08,,0,0,0,0,0,1,0,0,0,0,0,0,33.3,5.4,10.4,0,0,0,0,1
8,2001-01-09,,0,0,0,0,0,0,1,0,0,0,0,0,29.8,4.5,18.4,0,0,0,0,1
9,2001-01-10,22:15:00,1,0,0,0,1,0,0,1,0,0,0,0,27.7,3.7,18.5,0,1,0,0,0
10,2001-01-11,18:30:00,1,0,0,0,1,0,0,0,1,0,0,0,35.4,3.4,15.1,0,1,0,0,0
11,2001-01-12,19:30:00,1,0,0,0,1,0,0,0,0,1,0,0,33.9,2.6,8.7,0,1,0,0,0
12,2001-01-13,,0,0,0,0,0,0,0,0,0,0,1,0,30.8,1.7,9.1,0,1,0,0,0
13,2001-01-14,,0,0,0,0,0,0,0,0,0,0,0,1,33.8,1.2,7.0,0,1,0,0,0
14,2001-01-15,,0,1,0,0,0,1,0,0,0,0,0,0,35.8,,11.2,0,0,0,0,1
15,2001-01-16,,0,0,0,0,0,0,1,0,0,0,0,0,39.0,,15.6,0,1,0,0,0
16,2001-01-17,09:40:00,1,0,1,0,0,0,0,1,0,0,0,0,37.7,,13.3,0,1,0,0,0
17,2001-01-18,09:40:00,1,0,1,0,0,0,0,0,1,0,0,0,34.2,,10.6,0,0,0,0,1
18,2001-01-18,18:30:00,1,0,0,0,1,0,0,0,1,0,0,0,34.2,,10.6,0,0,0,0,1
19,2001-01-19,07:40:00,1,0,1,0,0,0,0,0,0,1,0,0,36.6,,10.4,0,0,0,0,1
20,2001-01-20,,0,0,0,0,0,0,0,0,0,0,1,0,33.0,,20.5,0,0,0,0,1
21,2001-01-21,,0,0,0,0,0,0,0,0,0,0,0,1,26.6,4.2,21.8,0,0,0,0,1
22,2001-01-22,,0,0,0,0,0,1,0,0,0,0,0,0,25.8,3.7,9.5,1,0,0,0,0
